query,search_type,page,author_count
AMPK signalling pathway,pubdate_desc,1,7.0
AMPK signalling pathway,pubdate_desc,2,5.5
AMPK signalling pathway,relevance,1,2.5
AMPK signalling pathway,relevance,2,2.5
Acalabrutinib,pubdate_desc,1,4.5
Acalabrutinib,pubdate_desc,2,5.0
Acalabrutinib,relevance,1,17.0
Acalabrutinib,relevance,2,5.0
Addison's disease,pubdate_desc,1,5.0
Addison's disease,pubdate_desc,2,4.5
Addison's disease,relevance,1,3.0
Addison's disease,relevance,2,2.0
Adiposis dolorosa,pubdate_desc,1,3.5
Adiposis dolorosa,pubdate_desc,2,4.0
Adiposis dolorosa,relevance,1,2.5
Adiposis dolorosa,relevance,2,2.0
Adrenergic Neurons ,pubdate_desc,1,5.5
Adrenergic Neurons ,pubdate_desc,2,9.5
Adrenergic Neurons ,relevance,1,4.5
Adrenergic Neurons ,relevance,2,5.0
Akt/PKB signalling pathway,pubdate_desc,1,7.0
Akt/PKB signalling pathway,pubdate_desc,2,7.5
Akt/PKB signalling pathway,relevance,1,4.5
Akt/PKB signalling pathway,relevance,2,4.0
Antisynthetase syndrome,pubdate_desc,1,7.0
Antisynthetase syndrome,pubdate_desc,2,6.0
Antisynthetase syndrome,relevance,1,2.0
Antisynthetase syndrome,relevance,2,3.0
Athletic Tape,pubdate_desc,1,4.5
Athletic Tape,pubdate_desc,2,4.0
Athletic Tape,relevance,1,3.0
Athletic Tape,relevance,2,4.5
Autoimmune pancreatitis,pubdate_desc,1,6.5
Autoimmune pancreatitis,pubdate_desc,2,4.5
Autoimmune pancreatitis,relevance,1,2.5
Autoimmune pancreatitis,relevance,2,3.5
Bacillus anthracis,pubdate_desc,1,7.0
Bacillus anthracis,pubdate_desc,2,4.0
Bacillus anthracis,relevance,1,3.0
Bacillus anthracis,relevance,2,3.5
Baclofen,pubdate_desc,1,6.0
Baclofen,pubdate_desc,2,4.5
Baclofen,relevance,1,1.5
Baclofen,relevance,2,2.5
Bartonella henselae,pubdate_desc,1,5.5
Bartonella henselae,pubdate_desc,2,5.5
Bartonella henselae,relevance,1,5.5
Bartonella henselae,relevance,2,6.0
Bickerstaff's encephalitis,pubdate_desc,1,4.0
Bickerstaff's encephalitis,pubdate_desc,2,4.0
Bickerstaff's encephalitis,relevance,1,5.5
Bickerstaff's encephalitis,relevance,2,3.5
Bordetella pertussis,pubdate_desc,1,8.5
Bordetella pertussis,pubdate_desc,2,9.5
Bordetella pertussis,relevance,1,2.0
Bordetella pertussis,relevance,2,2.0
Borrelia burgdorferi,pubdate_desc,1,9.5
Borrelia burgdorferi,pubdate_desc,2,6.5
Borrelia burgdorferi,relevance,1,2.5
Borrelia burgdorferi,relevance,2,2.0
Breast Implants,pubdate_desc,1,4.0
Breast Implants,pubdate_desc,2,4.0
Breast Implants,relevance,1,2.5
Breast Implants,relevance,2,2.5
Brucella abortus,pubdate_desc,1,6.0
Brucella abortus,pubdate_desc,2,7.5
Brucella abortus,relevance,1,5.0
Brucella abortus,relevance,2,6.0
CREST syndrome,pubdate_desc,1,4.5
CREST syndrome,pubdate_desc,2,5.5
CREST syndrome,relevance,1,2.0
CREST syndrome,relevance,2,3.0
Cabergoline,pubdate_desc,1,5.0
Cabergoline,pubdate_desc,2,5.0
Cabergoline,relevance,1,5.5
Cabergoline,relevance,2,6.0
Campylobacter jejuni,pubdate_desc,1,7.0
Campylobacter jejuni,pubdate_desc,2,6.5
Campylobacter jejuni,relevance,1,2.5
Campylobacter jejuni,relevance,2,3.5
Cannula,pubdate_desc,1,5.5
Cannula,pubdate_desc,2,5.0
Cannula,relevance,1,3.5
Cannula,relevance,2,3.0
Chest Tubes,pubdate_desc,1,5.0
Chest Tubes,pubdate_desc,2,5.0
Chest Tubes,relevance,1,2.0
Chest Tubes,relevance,2,3.5
Chlamydia pneumoniae,pubdate_desc,1,9.5
Chlamydia pneumoniae,pubdate_desc,2,6.5
Chlamydia pneumoniae,relevance,1,3.5
Chlamydia pneumoniae,relevance,2,1.0
Cholinergic Neurons ,pubdate_desc,1,4.5
Cholinergic Neurons ,pubdate_desc,2,7.0
Cholinergic Neurons ,relevance,1,2.0
Cholinergic Neurons ,relevance,2,3.5
Clostridium botulinum,pubdate_desc,1,2.0
Clostridium botulinum,pubdate_desc,2,6.5
Clostridium botulinum,relevance,1,3.5
Clostridium botulinum,relevance,2,3.0
Contact Lenses,pubdate_desc,1,5.5
Contact Lenses,pubdate_desc,2,3.0
Contact Lenses,relevance,1,1.5
Contact Lenses,relevance,2,3.0
Corynebacterium diphtheriae,pubdate_desc,1,7.5
Corynebacterium diphtheriae,pubdate_desc,2,4.5
Corynebacterium diphtheriae,relevance,1,5.0
Corynebacterium diphtheriae,relevance,2,4.0
Dalfampridine,pubdate_desc,1,5.0
Dalfampridine,pubdate_desc,2,5.5
Dalfampridine,relevance,1,3.0
Dalfampridine,relevance,2,4.0
Dendrites ,pubdate_desc,1,9.5
Dendrites ,pubdate_desc,2,9.0
Dendrites ,relevance,1,2.0
Dendrites ,relevance,2,3.5
Dental Articulators,pubdate_desc,1,4.0
Dental Articulators,pubdate_desc,2,6.0
Dental Articulators,relevance,1,1.0
Dental Articulators,relevance,2,1.5
Dopaminergic Neurons,pubdate_desc,1,7.0
Dopaminergic Neurons,pubdate_desc,2,5.5
Dopaminergic Neurons,relevance,1,3.0
Dopaminergic Neurons,relevance,2,3.0
Drug-Eluting Stents,pubdate_desc,1,12.0
Drug-Eluting Stents,pubdate_desc,2,9.0
Drug-Eluting Stents,relevance,1,2.5
Drug-Eluting Stents,relevance,2,2.0
Edoxaban,pubdate_desc,1,5.5
Edoxaban,pubdate_desc,2,7.5
Edoxaban,relevance,1,6.0
Edoxaban,relevance,2,7.0
Endometriosis,pubdate_desc,1,6.0
Endometriosis,pubdate_desc,2,6.0
Endometriosis,relevance,1,3.0
Endometriosis,relevance,2,3.5
Endoscopes,pubdate_desc,1,7.0
Endoscopes,pubdate_desc,2,3.5
Endoscopes,relevance,1,4.0
Endoscopes,relevance,2,3.0
Enterococcus faecalis,pubdate_desc,1,6.0
Enterococcus faecalis,pubdate_desc,2,6.0
Enterococcus faecalis,relevance,1,5.5
Enterococcus faecalis,relevance,2,4.5
Eph/ephrin signalling pathway,pubdate_desc,1,6.0
Eph/ephrin signalling pathway,pubdate_desc,2,4.0
Eph/ephrin signalling pathway,relevance,1,3.5
Eph/ephrin signalling pathway,relevance,2,3.0
Escherichia coli,pubdate_desc,1,6.0
Escherichia coli,pubdate_desc,2,5.0
Escherichia coli,relevance,1,3.0
Escherichia coli,relevance,2,2.0
Esophageal achalasia,pubdate_desc,1,6.5
Esophageal achalasia,pubdate_desc,2,7.5
Esophageal achalasia,relevance,1,3.0
Esophageal achalasia,relevance,2,5.5
Evans syndrome,pubdate_desc,1,4.0
Evans syndrome,pubdate_desc,2,10.5
Evans syndrome,relevance,1,3.0
Evans syndrome,relevance,2,3.0
Felodipine,pubdate_desc,1,4.5
Felodipine,pubdate_desc,2,4.0
Felodipine,relevance,1,2.0
Felodipine,relevance,2,2.0
Fibromyalgia,pubdate_desc,1,4.5
Fibromyalgia,pubdate_desc,2,6.0
Fibromyalgia,relevance,1,2.0
Fibromyalgia,relevance,2,2.5
Flowmeters,pubdate_desc,1,4.0
Flowmeters,pubdate_desc,2,4.5
Flowmeters,relevance,1,2.5
Flowmeters,relevance,2,3.0
Francisella tularensis,pubdate_desc,1,5.0
Francisella tularensis,pubdate_desc,2,6.5
Francisella tularensis,relevance,1,2.0
Francisella tularensis,relevance,2,3.0
GABAergic Neurons ,pubdate_desc,1,6.5
GABAergic Neurons ,pubdate_desc,2,4.5
GABAergic Neurons ,relevance,1,3.0
GABAergic Neurons ,relevance,2,5.0
Gastric Balloon,pubdate_desc,1,10.5
Gastric Balloon,pubdate_desc,2,8.5
Gastric Balloon,relevance,1,5.0
Gastric Balloon,relevance,2,5.5
Gefitinib,pubdate_desc,1,8.5
Gefitinib,pubdate_desc,2,8.5
Gefitinib,relevance,1,15.5
Gefitinib,relevance,2,8.0
Graves' ophthalmopathy,pubdate_desc,1,6.0
Graves' ophthalmopathy,pubdate_desc,2,6.0
Graves' ophthalmopathy,relevance,1,2.5
Graves' ophthalmopathy,relevance,2,2.0
Grid Cells ,pubdate_desc,1,5.5
Grid Cells ,pubdate_desc,2,5.5
Grid Cells ,relevance,1,3.5
Grid Cells ,relevance,2,3.0
Guillain–Barré syndrome,pubdate_desc,1,5.5
Guillain–Barré syndrome,pubdate_desc,2,5.0
Guillain–Barré syndrome,relevance,1,2.0
Guillain–Barré syndrome,relevance,2,3.0
Haemophilus influenzae,pubdate_desc,1,6.0
Haemophilus influenzae,pubdate_desc,2,10.5
Haemophilus influenzae,relevance,1,1.5
Haemophilus influenzae,relevance,2,2.0
Hedgehog signalling pathway,pubdate_desc,1,7.0
Hedgehog signalling pathway,pubdate_desc,2,9.0
Hedgehog signalling pathway,relevance,1,4.5
Hedgehog signalling pathway,relevance,2,3.0
Helicobacter pylori,pubdate_desc,1,7.0
Helicobacter pylori,pubdate_desc,2,3.5
Helicobacter pylori,relevance,1,3.0
Helicobacter pylori,relevance,2,2.5
Hippo signalling pathway,pubdate_desc,1,8.5
Hippo signalling pathway,pubdate_desc,2,7.0
Hippo signalling pathway,relevance,1,3.5
Hippo signalling pathway,relevance,2,5.5
Hydroxyzine,pubdate_desc,1,4.5
Hydroxyzine,pubdate_desc,2,6.0
Hydroxyzine,relevance,1,2.5
Hydroxyzine,relevance,2,2.5
Imipramine,pubdate_desc,1,7.0
Imipramine,pubdate_desc,2,4.0
Imipramine,relevance,1,2.0
Imipramine,relevance,2,2.5
Incubators,pubdate_desc,1,6.0
Incubators,pubdate_desc,2,11.0
