query,search_type,page,country
AMPK signalling pathway,pubdate_desc,1,
AMPK signalling pathway,pubdate_desc,2,
AMPK signalling pathway,relevance,1,USA
AMPK signalling pathway,relevance,2,UK
Acalabrutinib,pubdate_desc,1,
Acalabrutinib,pubdate_desc,2,
Acalabrutinib,relevance,1,
Acalabrutinib,relevance,2,
Addison's disease,pubdate_desc,1,
Addison's disease,pubdate_desc,2,
Addison's disease,relevance,1,USA
Addison's disease,relevance,2,USA
Adiposis dolorosa,pubdate_desc,1,
Adiposis dolorosa,pubdate_desc,2,
Adiposis dolorosa,relevance,1,USA
Adiposis dolorosa,relevance,2,SPAIN
Adrenergic Neurons ,pubdate_desc,1,
Adrenergic Neurons ,pubdate_desc,2,
Adrenergic Neurons ,relevance,1,
Adrenergic Neurons ,relevance,2,ITALY
Akt/PKB signalling pathway,pubdate_desc,1,
Akt/PKB signalling pathway,pubdate_desc,2,
Akt/PKB signalling pathway,relevance,1,USA
Akt/PKB signalling pathway,relevance,2,USA
Antisynthetase syndrome,pubdate_desc,1,
Antisynthetase syndrome,pubdate_desc,2,
Antisynthetase syndrome,relevance,1,USA
Antisynthetase syndrome,relevance,2,
Athletic Tape,pubdate_desc,1,
Athletic Tape,pubdate_desc,2,
Athletic Tape,relevance,1,NEW ZEALAND
Athletic Tape,relevance,2,
Autoimmune pancreatitis,pubdate_desc,1,
Autoimmune pancreatitis,pubdate_desc,2,
Autoimmune pancreatitis,relevance,1,
Autoimmune pancreatitis,relevance,2,IRELAND
Bacillus anthracis,pubdate_desc,1,
Bacillus anthracis,pubdate_desc,2,
Bacillus anthracis,relevance,1,USA
Bacillus anthracis,relevance,2,USA
Baclofen,pubdate_desc,1,
Baclofen,pubdate_desc,2,
Baclofen,relevance,1,GERMANY
Baclofen,relevance,2,USA
Bartonella henselae,pubdate_desc,1,
Bartonella henselae,pubdate_desc,2,
Bartonella henselae,relevance,1,FRANCE
Bartonella henselae,relevance,2,USA
Bickerstaff's encephalitis,pubdate_desc,1,
Bickerstaff's encephalitis,pubdate_desc,2,
Bickerstaff's encephalitis,relevance,1,SPAIN
Bickerstaff's encephalitis,relevance,2,JAPAN
Bordetella pertussis,pubdate_desc,1,
Bordetella pertussis,pubdate_desc,2,
Bordetella pertussis,relevance,1,UK
Bordetella pertussis,relevance,2,USA
Borrelia burgdorferi,pubdate_desc,1,
Borrelia burgdorferi,pubdate_desc,2,
Borrelia burgdorferi,relevance,1,USA
Borrelia burgdorferi,relevance,2,USA
Breast Implants,pubdate_desc,1,
Breast Implants,pubdate_desc,2,
Breast Implants,relevance,1,BELGIUM
Breast Implants,relevance,2,USA
Brucella abortus,pubdate_desc,1,
Brucella abortus,pubdate_desc,2,
Brucella abortus,relevance,1,BRAZIL
Brucella abortus,relevance,2,RUSSIA
CREST syndrome,pubdate_desc,1,
CREST syndrome,pubdate_desc,2,
CREST syndrome,relevance,1,JAPAN
CREST syndrome,relevance,2,USA
Cabergoline,pubdate_desc,1,
Cabergoline,pubdate_desc,2,
Cabergoline,relevance,1,CHINA
Cabergoline,relevance,2,ITALY
Campylobacter jejuni,pubdate_desc,1,
