pmid	query	search_type	page	covid
35531887	AMPK signalling pathway	pubdate_desc	1	False
35416120	AMPK signalling pathway	pubdate_desc	1	False
34860639	AMPK signalling pathway	pubdate_desc	1	False
35341975	AMPK signalling pathway	pubdate_desc	1	False
35192892	AMPK signalling pathway	pubdate_desc	1	False
35351574	AMPK signalling pathway	pubdate_desc	1	False
35419614	AMPK signalling pathway	pubdate_desc	1	False
35405150	AMPK signalling pathway	pubdate_desc	1	False
35390465	AMPK signalling pathway	pubdate_desc	1	False
35358642	AMPK signalling pathway	pubdate_desc	1	False
35472029	AMPK signalling pathway	pubdate_desc	2	False
35191604	AMPK signalling pathway	pubdate_desc	2	False
35122618	AMPK signalling pathway	pubdate_desc	2	False
35094205	AMPK signalling pathway	pubdate_desc	2	False
35029796	AMPK signalling pathway	pubdate_desc	2	False
35502961	AMPK signalling pathway	pubdate_desc	2	False
35603508	AMPK signalling pathway	pubdate_desc	2	False
35591763	AMPK signalling pathway	pubdate_desc	2	False
34919659	AMPK signalling pathway	pubdate_desc	2	False
35597494	AMPK signalling pathway	pubdate_desc	2	False
21892142	AMPK signalling pathway	relevance	1	False
19629071	AMPK signalling pathway	relevance	1	False
26616193	AMPK signalling pathway	relevance	1	False
28622524	AMPK signalling pathway	relevance	1	False
28232179	AMPK signalling pathway	relevance	1	False
28407774	AMPK signalling pathway	relevance	1	False
31195981	AMPK signalling pathway	relevance	1	False
35196887	AMPK signalling pathway	relevance	1	False
28408430	AMPK signalling pathway	relevance	1	False
31747940	AMPK signalling pathway	relevance	1	False
34547233	AMPK signalling pathway	relevance	2	False
26303471	AMPK signalling pathway	relevance	2	False
30867601	AMPK signalling pathway	relevance	2	False
23080146	AMPK signalling pathway	relevance	2	False
30304866	AMPK signalling pathway	relevance	2	False
29592806	AMPK signalling pathway	relevance	2	False
27919039	AMPK signalling pathway	relevance	2	False
34517004	AMPK signalling pathway	relevance	2	False
22369257	AMPK signalling pathway	relevance	2	False
22186033	AMPK signalling pathway	relevance	2	False
35357653	Acalabrutinib	pubdate_desc	1	False
35084245	Acalabrutinib	pubdate_desc	1	False
34897701	Acalabrutinib	pubdate_desc	1	False
35596920	Acalabrutinib	pubdate_desc	1	False
35594173	Acalabrutinib	pubdate_desc	1	False
35597428	Acalabrutinib	pubdate_desc	1	False
35507054	Acalabrutinib	pubdate_desc	1	False
35537984	Acalabrutinib	pubdate_desc	1	False
35573643	Acalabrutinib	pubdate_desc	1	False
35266562	Acalabrutinib	pubdate_desc	1	False
35072264	Acalabrutinib	pubdate_desc	2	False
34532877	Acalabrutinib	pubdate_desc	2	False
35478298	Acalabrutinib	pubdate_desc	2	False
35476648	Acalabrutinib	pubdate_desc	2	False
35466438	Acalabrutinib	pubdate_desc	2	False
35404729	Acalabrutinib	pubdate_desc	2	False
35437451	Acalabrutinib	pubdate_desc	2	False
35456167	Acalabrutinib	pubdate_desc	2	False
35379357	Acalabrutinib	pubdate_desc	2	False
35437106	Acalabrutinib	pubdate_desc	2	False
34310172	Acalabrutinib	relevance	1	False
33786588	Acalabrutinib	relevance	1	False
32305093	Acalabrutinib	relevance	1	False
26641137	Acalabrutinib	relevance	1	False
31088809	Acalabrutinib	relevance	1	False
31643805	Acalabrutinib	relevance	1	
30000004	Acalabrutinib	relevance	1	
32459600	Acalabrutinib	relevance	1	False
26957112	Acalabrutinib	relevance	1	False
34275396	Acalabrutinib	relevance	1	False
29241979	Acalabrutinib	relevance	2	False
33730844	Acalabrutinib	relevance	2	False
31915195	Acalabrutinib	relevance	2	False
30967367	Acalabrutinib	relevance	2	False
33032842	Acalabrutinib	relevance	2	False
34268530	Acalabrutinib	relevance	2	False
33486852	Acalabrutinib	relevance	2	False
30638402	Acalabrutinib	relevance	2	False
34055635	Acalabrutinib	relevance	2	False
